Unnamed: 0,name,mapped_data
43650,wellington lower hutt city new zealand,",Lower Hutt City,Wellington,New Zealand"
43651,bay of plenty kawerau district new zealand,",Kawerau District,Bay of Plenty,New Zealand"
43652,southland invercargill city new zealand,",Invercargill City,Southland,New Zealand"
43653,hawke's bay hastings district new zealand,",Hastings District,Hawke's Bay,New Zealand"
43654,waikato hamilton city new zealand,",Hamilton City,Waikato,New Zealand"
43655,northland kaipara district new zealand,",Kaipara District,Northland,New Zealand"
43656,canterbury christchurch city new zealand,",Christchurch City,Canterbury,New Zealand"
43657,wellington masterton district new zealand,",Masterton District,Wellington,New Zealand"
43658,manawatu-wanganui rangitikei district new zealand,",Rangitikei District,Manawatu-Wanganui,New Zealand"
43659,canterbury hurunui district new zealand,",Hurunui District,Canterbury,New Zealand"
43660,taranaki south taranaki district new zealand,",South Taranaki District,Taranaki,New Zealand"
43661,manawatu-wanganui horowhenua district new zealand,",Horowhenua District,Manawatu-Wanganui,New Zealand"
43662,hawke's bay wairoa district new zealand,",Wairoa District,Hawke's Bay,New Zealand"
43663,gisborne gisborne district new zealand,",Gisborne District,Gisborne,New Zealand"
43664,wellington south wairarapa district new zealand,",South Wairarapa District,Wellington,New Zealand"
43665,west coast westland district new zealand,",Westland District,West Coast,New Zealand"
43666,west coast grey district new zealand,",Grey District,West Coast,New Zealand"
43667,west coast buller district new zealand,",Buller District,West Coast,New Zealand"
43668,bay of plenty tauranga city new zealand,",Tauranga City,Bay of Plenty,New Zealand"
43669,bay of plenty opotiki district new zealand,",Opotiki District,Bay of Plenty,New Zealand"
43670,chatham islands   new zealand,", ,Chatham Islands,New Zealand"
43671,southland gore district new zealand,",Gore District,Southland,New Zealand"
43672,otago   new zealand,", ,Otago,New Zealand"
43673,auckland   new zealand,", ,Auckland,New Zealand"
43674,waikato matamata-piako district new zealand,",Matamata-Piako District,Waikato,New Zealand"
43675,waikato waipa district new zealand,",Waipa District,Waikato,New Zealand"
43676,bay of plenty rotorua district new zealand,",Rotorua District,Bay of Plenty,New Zealand"
43677,marlborough marlborough district new zealand,",Marlborough District,Marlborough,New Zealand"
43678,wellington   new zealand,", ,Wellington,New Zealand"
43679,wellington upper hutt city new zealand,",Upper Hutt City,Wellington,New Zealand"
43680,canterbury kaikoura district new zealand,",Kaikoura District,Canterbury,New Zealand"
49327,alabama baldwin county united states,",Baldwin County,Alabama,United States"
49328,texas jackson county united states,",Jackson County,Texas,United States"
49329,alabama mobile county united states,",Mobile County,Alabama,United States"
49330,texas rusk county united states,",Rusk County,Texas,United States"
49331,texas medina county united states,",Medina County,Texas,United States"
49332,alabama marion county united states,",Marion County,Alabama,United States"
49333,virginia fairfax county united states,",Fairfax County,Virginia,United States"
49334,virginia york county united states,",York County,Virginia,United States"
