,name,mapped_data
470,Zurich,",,Zurich,Switzerland"
471,Grisons,",,Grisons,Switzerland"
472,Zug,",,Zug,Switzerland"
473,Solothurn,",,Solothurn,Switzerland"
474,Valais,",,Valais,Switzerland"
475,Lucerne,",,Lucerne,Switzerland"
476,Vaud,",,Vaud,Switzerland"
477,Schwyz,",,Schwyz,Switzerland"
478,Nidwalden,",,Nidwalden,Switzerland"
479,Schaffhausen,",,Schaffhausen,Switzerland"
480,Thurgau,",,Thurgau,Switzerland"
481,Appenzell Ausserrhoden,",,Appenzell Ausserrhoden,Switzerland"
482,Fribourg,",,Fribourg,Switzerland"
483,Ticino,",,Ticino,Switzerland"
484,Jura,",,Jura,Switzerland"
485,Geneva,",,Geneva,Switzerland"
486,Neuchatel,",,Neuchatel,Switzerland"
487,Uri,",,Uri,Switzerland"
488,Glarus,",,Glarus,Switzerland"
489,Obwalden,",,Obwalden,Switzerland"
490,Appenzell Innerrhoden,",,Appenzell Innerrhoden,Switzerland"
491,Basel-City,",,Basel-City,Switzerland"
492,Marahoue,",,Marahoue,Côte d'Ivoire"
493,Lacs,",,Lacs,Côte d'Ivoire"
494,Haut-Sassandra,",,Haut-Sassandra,Côte d'Ivoire"
495,Dix-Huit Montagnes,",,Dix-Huit Montagnes,Côte d'Ivoire"
496,Bafing,",,Bafing,Côte d'Ivoire"
497,Savanes,",,Savanes,Côte d'Ivoire"
498,Lagunes,",,Lagunes,Côte d'Ivoire"
499,Zanzan,",,Zanzan,Côte d'Ivoire"
500,Bas-Sassandra,",,Bas-Sassandra,Côte d'Ivoire"
501,Vallee du Bandama,",,Vallee du Bandama,Côte d'Ivoire"
502,Fromager,",,Fromager,Côte d'Ivoire"
503,Denguele,",,Denguele,Côte d'Ivoire"
504,Worodougou,",,Worodougou,Côte d'Ivoire"
505,Sud-Comoe,",,Sud-Comoe,Côte d'Ivoire"
506,Sud-Bandama,",,Sud-Bandama,Côte d'Ivoire"
507,N'zi-Comoe,",,N'zi-Comoe,Côte d'Ivoire"
508,Moyen-Comoe,",,Moyen-Comoe,Côte d'Ivoire"
509,Agneby,",,Agneby,Côte d'Ivoire"
510,Biobio,",,Biobio,Chile"
511,Valparaiso,",,Valparaiso,Chile"
512,Araucania,",,Araucania,Chile"
513,Coquimbo,",,Coquimbo,Chile"
514,Atacama,",,Atacama,Chile"
515,Los Rios,",,Los Rios,Chile"
516,Antofagasta,",,Antofagasta,Chile"
517,Maule,",,Maule,Chile"
518,Santiago Metropolitan,",,Santiago Metropolitan,Chile"
519,O'Higgins,",,O'Higgins,Chile"
520,Los Lagos,",,Los Lagos,Chile"
521,Arica y Parinacota,",,Arica y Parinacota,Chile"
522,Magallanes,",,Magallanes,Chile"
523,Aisen,",,Aisen,Chile"
524,Tarapaca,",,Tarapaca,Chile"
525,East,",,East,Cameroon"
526,Far North,",,Far North,Cameroon"
527,North-West Province,",,North-West Province,Cameroon"
528,West,",,West,Cameroon"
529,South-West Province,",,South-West Province,Cameroon"
530,Adamaoua,",,Adamaoua,Cameroon"
531,North Province,",,North Province,Cameroon"
532,South Province,",,South Province,Cameroon"
533,Gansu Sheng,",,Gansu Sheng,China"
534,Qinghai Sheng,",,Qinghai Sheng,China"
535,Tibet Autonomous Region,",,Tibet Autonomous Region,China"
536,Yunnan,",,Yunnan,China"
537,Xinjiang Uygur Zizhiqu,",,Xinjiang Uygur Zizhiqu,China"
538,Sichuan,",,Sichuan,China"
539,Jiangsu Sheng,",,Jiangsu Sheng,China"
540,Guizhou Sheng,",,Guizhou Sheng,China"
541,Anhui Sheng,",,Anhui Sheng,China"
542,Shaanxi,",,Shaanxi,China"
543,Hainan,",,Hainan,China"
544,Guangdong,",,Guangdong,China"
545,Jiangxi Sheng,",,Jiangxi Sheng,China"
546,Zhejiang Sheng,",,Zhejiang Sheng,China"
547,Shanxi Sheng,",,Shanxi Sheng,China"
548,Fujian,",,Fujian,China"
549,Shandong Sheng,",,Shandong Sheng,China"
550,Hunan,",,Hunan,China"
551,Hubei,",,Hubei,China"
552,Chongqing Shi,",,Chongqing Shi,China"
553,Henan Sheng,",,Henan Sheng,China"
554,Shanghai Shi,",,Shanghai Shi,China"
555,Hebei,",,Hebei,China"
556,Tianjin Shi,",,Tianjin Shi,China"
557,Liaoning,",,Liaoning,China"
558,Beijing,",,Beijing,China"
559,Ningxia Huizu Zizhiqu,",,Ningxia Huizu Zizhiqu,China"
560,Guangxi Zhuangzu Zizhiqu,",,Guangxi Zhuangzu Zizhiqu,China"
561,Inner Mongolia,",,Inner Mongolia,China"
562,Heilongjiang Sheng,",,Heilongjiang Sheng,China"
563,Jilin Sheng,",,Jilin Sheng,China"
564,Cundinamarca,",,Cundinamarca,Colombia"
565,Boyaca,",,Boyaca,Colombia"
566,Valle del Cauca,",,Valle del Cauca,Colombia"
567,Antioquia,",,Antioquia,Colombia"
568,Santander,",,Santander,Colombia"
569,Magdalena,",,Magdalena,Colombia"
570,Casanare,",,Casanare,Colombia"
571,Narino,",,Narino,Colombia"
572,Caldas,",,Caldas,Colombia"
573,Meta,",,Meta,Colombia"
